strategy,fraction_targeted,cumulative_uplift
X-learner CATE,1581722.0,3053.285334705547
X-learner CATE,1584442.0,3054.2083313598255
X-learner CATE,1587160.0,3054.294741350235
X-learner CATE,1589929.0,3055.23965886732
X-learner CATE,1592741.0,3056.0703563950256
X-learner CATE,1595540.0,3056.688052682192
X-learner CATE,1598369.0,3058.286657397441
X-learner CATE,1601179.0,3058.081563810914
X-learner CATE,1603960.0,3058.1824453552317
X-learner CATE,1606766.0,3058.910861313182
X-learner CATE,1609506.0,3057.0388466813224
X-learner CATE,1612228.0,3057.1349808612013
X-learner CATE,1614953.0,3058.422200566106
X-learner CATE,1617682.0,3058.8096283568875
X-learner CATE,1620416.0,3058.7055311030986
X-learner CATE,1623136.0,3058.2243673292814
X-learner CATE,1625858.0,3060.195114125283
X-learner CATE,1628580.0,3059.7354963890084
X-learner CATE,1631301.0,3059.7470202821814
X-learner CATE,1634020.0,3059.563930143697
X-learner CATE,1636739.0,3059.816219017684
X-learner CATE,1639463.0,3060.5668797265016
X-learner CATE,1642184.0,3060.9812937889624
X-learner CATE,1644910.0,3060.1617770412677
X-learner CATE,1647637.0,3059.9451955694485
X-learner CATE,1650361.0,3059.885897700774
X-learner CATE,1653082.0,3060.470923210926
X-learner CATE,1655818.0,3060.2451275415565
X-learner CATE,1658545.0,3061.4910371689944
X-learner CATE,1661272.0,3062.3323956764534
X-learner CATE,1663997.0,3062.039340724352
X-learner CATE,1666737.0,3062.081993007503
X-learner CATE,1669467.0,3061.229257087446
X-learner CATE,1672200.0,3062.5223806186773
X-learner CATE,1674930.0,3062.776127397274
X-learner CATE,1677668.0,3063.560595310963
X-learner CATE,1680415.0,3064.022387113903
X-learner CATE,1683152.0,3063.735963258213
X-learner CATE,1685879.0,3064.757844471451
X-learner CATE,1688608.0,3064.336251023823
X-learner CATE,1691334.0,3064.3209482043785
X-learner CATE,1694066.0,3064.3086381070307
X-learner CATE,1696795.0,3064.2809285544586
X-learner CATE,1699516.0,3064.537632844309
X-learner CATE,1702238.0,3065.4912024676382
X-learner CATE,1704963.0,3065.7860587233263
X-learner CATE,1707691.0,3066.7891956567973
X-learner CATE,1710450.0,3067.921785098308
X-learner CATE,1713217.0,3068.3994724638064
X-learner CATE,1715946.0,3069.7103547702245
X-learner CATE,1718665.0,3069.610862131346
X-learner CATE,1721394.0,3069.525676141932
X-learner CATE,1724119.0,3069.402181619999
